,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
357,1583992620000,2020-03-12 05:57:00,ETHUSD,181.09,181.28,181.09,181.28,1.41085
358,1583992680000,2020-03-12 05:58:00,ETHUSD,181.28,181.71,181.28,181.71,0.326352
359,1583992740000,2020-03-12 05:59:00,ETHUSD,181.71,181.71,181.71,181.71,0.0
360,1583992800000,2020-03-12 06:00:00,ETHUSD,181.71,181.71,181.71,181.71,0.0
361,1583992860000,2020-03-12 06:01:00,ETHUSD,181.71,181.71,181.34,181.35,9.139653
362,1583992920000,2020-03-12 06:02:00,ETHUSD,181.35,181.35,181.35,181.35,0.0
363,1583992980000,2020-03-12 06:03:00,ETHUSD,181.35,181.35,181.11,181.11,4.95572
364,1583993040000,2020-03-12 06:04:00,ETHUSD,181.11,181.11,181.11,181.11,0.0
365,1583993100000,2020-03-12 06:05:00,ETHUSD,181.11,181.16,181.04,181.16,0.075832
366,1583993160000,2020-03-12 06:06:00,ETHUSD,181.16,181.16,181.07,181.07,0.01099
367,1583993220000,2020-03-12 06:07:00,ETHUSD,181.07,181.07,181.07,181.07,0.0
368,1583993280000,2020-03-12 06:08:00,ETHUSD,181.07,181.07,180.6,180.6,3.23996
369,1583993340000,2020-03-12 06:09:00,ETHUSD,180.6,180.81,180.6,180.81,4.5
370,1583993400000,2020-03-12 06:10:00,ETHUSD,180.81,180.81,180.62,180.62,0.049589
371,1583993460000,2020-03-12 06:11:00,ETHUSD,180.62,180.62,180.5,180.5,0.00207
372,1583993520000,2020-03-12 06:12:00,ETHUSD,180.5,180.5,180.5,180.5,0.0
373,1583993580000,2020-03-12 06:13:00,ETHUSD,180.5,180.5,180.5,180.5,0.0
374,1583993640000,2020-03-12 06:14:00,ETHUSD,180.5,180.5,180.48,180.48,0.00644
375,1583993700000,2020-03-12 06:15:00,ETHUSD,180.48,180.48,180.05,180.05,4.511026
376,1583993760000,2020-03-12 06:16:00,ETHUSD,180.05,180.05,180.05,180.05,0.0
377,1583993820000,2020-03-12 06:17:00,ETHUSD,180.05,180.05,178.1,178.1,98.597262
378,1583993880000,2020-03-12 06:18:00,ETHUSD,178.1,178.1,176.7,176.77,43.110075
